School_name ,edu_range,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,awards_and_recognitions,academic_offerings,sports_facilities,music_facilities,after_school_opportunities,other_facilities,student_services,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Arizona Conservatory for Arts and Academics,9 - 12,B,Yes,173,<10,<10,44,25.43,,,106,61.27,<10,<10,<10,<10,<10,<10,22.65,10,7.17,13.8,99.39,6,70,0,0,"$ 3,398.77","$ 7,471.35",$ 118.21,"$ 5,044.28","$ 16,032.60",['No data available'],"['Advanced Placement (AP)', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'chevron_right', 'Concurrent enrollment for college classes', 'chevron_right', 'West-MEC']",['No data available'],"['Art', 'Band', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Musical Theater, Guitar, Piano, AP Art, Song Writing']","['Academic', 'chevron_right', 'Academic Decathlon, National Honor Society, Book Club', 'Arts', 'chevron_right', 'Drama Club, Choir Club', 'Community/Civic', 'chevron_right', 'Student Council']","['Art Room', 'Natural Lighting in 50% areas', 'Science Lab']",['No data available'],Yes,Yes,Yes,Yes,Yes
Arizona Insight Academy,7 - 12,B,Yes,1098,107,9.74,433,39.44,32,2.91,451,41.08,62,5.65,<10,<10,<10,<10,3.63,4.86,11.95,24.6,92.86,0,0,2,0,,,,,,['No data available'],"['Career and Technical Education (CTE)', 'Online courses', 'Insight Academy of Arizona is an alternative, online charter school created to support and assist our students that may need additional help with earning credits and graduating. It is also a school for students who are seeking our robust CTE program and looking to graduate while taking 4 classes each trimester instead of 6+ classes each semester.']",['Our school is entirely online and there are no sports.'],['Our school is entirely online. Many of these courses exist but in an online format.'],['No data available'],['Our school is entirely online.'],"['Dedicated School Counselor', 'chevron_right', '1', 'Dedicated School Social Worker', 'chevron_right', '.5', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports', 'Our school is an online school but we do as much as we can to support our families.']",Yes,Yes,Yes,Yes,Yes
Arizona Preparatory Academy,9 - 12,B,Yes,1127,90,7.99,586,52,73,6.48,349,30.97,16,1.42,13,1.15,,,0.89,3.43,24.79,35,36.27,0,128,0,0,$ 368.64,"$ 2,265.10",$ 244.58,"$ 9,654.84","$ 12,533.17",['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],,,,,
Arizona Virtual Academy,Kindergarten - 12,C,Yes,5110,499,9.77,2045,40.02,161,3.15,1876,36.71,430,8.41,84,1.64,15,0.29,8.81,7.54,8.83,8.6,99.36,3,0,4,1,$ 522.32,"$ 3,068.80","$ 1,438.37","$ 9,825.53","$ 14,855.02",['No data available'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Full-day Kindergarten', 'Online courses', 'Our school is entirely online.']",['Our school is entirely online. There are no sports.'],['Our school is entirely online. We try to provide some of those classes in an online environment.'],['No data available'],['Our school is entirely online.'],"['Dedicated School Counselor', 'chevron_right', '2', 'Dedicated School Social Worker', 'chevron_right', '.5', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports', 'Our school is entirely online.']",Yes,Yes,Yes,Yes,Yes
Barry Goldwater High School,7 - 12,B,Yes,1640,129,7.87,704,42.93,43,2.62,621,37.87,77,4.7,51,3.11,15,0.92,15.02,10,3.03,18.7,98.8,110,855,50,1,$ 469.71,"$ 5,912.69",$ 163.30,$ 466.21,"$ 7,011.91",['No data available'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'International Baccalaureate']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']",[''],"['Academic', 'Arts', 'Athletic', 'Career and Technical Education (CTE)', 'Career Focus', 'Community/Civic', 'Speech and Debate', 'Tutoring and Mentoring']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Enhanced Security', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'Technology Lab', 'Transportation']","['Dedicated School Counselor', 'chevron_right', '4', 'Dedicated School Social Worker', 'chevron_right', '1', 'Mental health services', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Designated individual to refer to community supports', 'Immigrant Services', 'Refugee services', 'Migrant Education Program', 'Parent/Family education and support', 'Family liaison', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Southwest Behavior Health', 'chevron_right', 'Arizona Youth and Family Services', 'Partner Community Organizations', 'List', 'ElevateEd Arizona partners with Community and CTE to provide extended opportunities for students to connect with the community.']",Yes,Yes,Yes,Yes,Yes
Basha High School,Preschool - 12,A,No,2797,133,4.75,489,17.48,<10,<10,1675,59.89,144,5.15,307,10.98,<10,<10,30,10,1.53,17.1,98.59,901,712,24,1,$ 288.18,"$ 6,404.09",$ 80.45,$ 767.83,"$ 7,540.56","['A+ School of Excellence', ""Rated one of Arizona's Best High School (US News and World Report)"", 'Basha AMS Ranked #1 Middle School based on AzM2 Data (Schooldigger.com)', 'First Ever Arizona Girls Wrestling State Champions 2020', 'AIA Open Division Football State Champions', '1st CUSD Girls Volleyball AIA State Champions 2019', '5 National Merit Semifinalists', 'Accelerated Middle School was Academic Pentathlon National Champions', '6 National Board Certified Teachers on Campus', 'Forbes ranks CUSD 2021 Best Employer in State - https://www.forbes.com/best-employers-by-state/#7d64f06c487a']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'ROTC/JROTC', 'Others', 'chevron_right', 'Cyber Security']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'ESports']","['Art', 'Band', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater']","['Academic', 'Arts', 'Athletic', 'Business Interest', 'Career and Technical Education (CTE)', 'Community/Civic', 'Games and Gaming', 'ROTC/JROTC', 'Speech and Debate', 'Tutoring and Mentoring']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '7', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'Transportation']",['No data available'],Yes,Yes,Yes,Yes,Yes
Benjamin Franklin High School,7 - 12,B,No,1233,31,2.51,208,16.87,<10,<10,895,72.59,60,4.87,32,2.6,<10,<10,19.04,10,1.53,17.9,99.92,176,131,0,0,$ 158.27,"$ 4,984.99",$ 48.70,"$ 1,027.08","$ 6,219.03","['Nationally Recognized by U.S. News & World Report (U.S. Best High Schools)', 'Top 6% of All Arizona High Schools', ""Named Jostens' 2019 National Yearbook Program of Excellence"", 'Top 10 Charter School - Ranking Arizona', 'Cognia Accreditation']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'chevron_right', 'Classical Education', 'chevron_right', 'College Preparatory Program', 'Classical education is the most proven form of education that has produced the greatest thinkers and leaders in Western civilization from the time of the Greeks until the late 19th Century, including America’s Founding Fathers. A classical education takes history as its organizing outline. Students study literature, culture, history, and philosophy from the same time period to make deep connections. The curriculum is knowledge-rich and built around the belief that there is a common body of knowledge all members of our society should master in the core areas and in the arts. The aim is to produce a virtuous, knowledgeable and articulate person. Grounded in classical languages and literature. Education conducted in a spirit of free inquiry undertaken without concern for topical relevance or vocational utility. Subjects taught as part of a whole in an interconnected world as opposed to isolated pieces of information. Language-focused; learning is accomplished through words, written and spoken, rather than through passive learning (pictures, videos, and television). Facilitates close interaction between faculty and students. Classical virtues, as well as principles in self-gov.']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'eSports', 'We offer robust Athletic opportunities at both the Jr. High and High School level.']","['Art', 'Band', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Yearbook/Journalism']","['Academic', 'chevron_right', 'National Honors Society', 'Arts', 'chevron_right', 'Annual All-School Spring Musical', 'Athletic', 'chevron_right', 'Jr. High & High School Sports', 'Games and Gaming', 'chevron_right', 'eSports', 'Speech and Debate', 'chevron_right', 'Debate Team', 'Tutoring and Mentoring', 'chevron_right', 'Academic Tutoring', 'Others', 'chevron_right', 'Student Government']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '3', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Music Hall', 'Natural Lighting in 50% areas', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football Field', 'chevron_right', 'Baseball Diamond', 'chevron_right', 'Outdoor Track', 'chevron_right', 'Weight Room', 'chevron_right', 'Locker Rooms', 'chevron_right', 'Gymnasium', 'chevron_right', 'Soccer Field', 'chevron_right', 'Track & Field Equipment', 'chevron_right', 'Center for Performing Arts', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'Student Union/Common Area']",['No data available'],Yes,Yes,Yes,Yes,Yes
Betty Fairfax High School,9 - 12,C,Yes,1973,408,20.68,1160,58.79,138,6.99,149,7.55,67,3.4,<10,<10,<10,<10,13.08,10,4.02,16.1,97.71,71,521,23,1,$ 551.80,"$ 7,320.94",$ 49.79,$ 321.15,"$ 8,243.69","['AVID - National Certified School Award', 'Large School Academic Achievement Award 21-22', 'Gold Rating: Concert Choir Gold Rating: Chamber Choir Gold Rating: Vocal Jazz Adjudicators Award Worldstrides Heritage Festival New York, NY 2023', 'Superior Ratings in Vocal Jazz and Madrigal performances Northern Arizona University, Jazz/Madrigal Festival Flagstaff, AZ 2019, 2020, 2021, 2022, 2023', ""Highest FAFSA Completion Rate for Comprehensive High Schools within PXU '22-'23 school year."", 'Boys Golf 2020, 2021, 2022, 2023 AIA Div II Section 5 Champions', 'Official Thespian Troupe in May 2022 and received a Bronze Honor Troupe plaque in 2023', 'Fairfax DECA, Elite Chapter award, 2020', 'Diamond Society Silver for That One Place (school store), 2020', ""Girls Basketball Final Four Program '22-'23""]","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'International Baccalaureate', 'Online courses', 'Preschool', 'ROTC/JROTC', 'Others', 'chevron_right', 'Freshman Academy', 'Betty H. Fairfax High School is a dynamic and diverse educational institution that prioritizes academic excellence and personalized learning experiences. With a comprehensive collection of course offerings, the school aims to cater to the unique needs and goals of its students. With a commitment to academic excellence and a diverse range of programs, Betty H. Fairfax High School strives to empower students to achieve their full potential and succeed in their future in college, career and life.']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'The spirit of Betty H. Fairfax athletics and physical education is rooted in overcoming challenges with courage. We focus on building tenacity and strong moral character in student-athletes, carried on by our dedicated alumni who return as teachers and coaches. Our programs prioritize individual strengths and uniqueness, providing a safe and supportive environment for student-athletes. Beyond traditional physical education classes, we offer diverse options such as yoga, weight training, and sports officiating to cater to different interests. Additionally, we host extracurricular activities like a weightlifting club and Special Olympics, emphasizing inclusivity and personal development through sports. Our goal is to instill values of resilience and community, shaping well-rounded individuals both on and off the field.']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Guitar', 'chevron_right', 'Piano', 'chevron_right', 'IB Music, Dance, Theater, Art', 'At Betty Fairfax High School, the performing arts department provides a platform for students to express themselves through various programs, including vocal music, instrumental ensembles, theater, and dance. Students receive recognition in competitions and are inspired to pursue careers in the performing arts. Similarly, the Visual Arts Department nurtures creativity and technical skills through drawing, painting, ceramics, photography, and digital arts courses. Students engage with the community through art projects and aim to create positive change through the transformative power of art.']","['Academic', 'chevron_right', 'AVID', 'chevron_right', 'Fairfax Contemporary Readers', 'chevron_right', 'National Honor Society', 'chevron_right', 'Math Club/Mu Alpha Theta', 'Arts', 'chevron_right', 'Equus of Fairfax - Marching Band', 'chevron_right', 'Choir Club', 'chevron_right', 'Stampedette/Majorette Dance Club', 'chevron_right', 'Japanese Club', 'chevron_right', 'Stampede Players Theatre Club', 'chevron_right', 'The ""88"" (Piano Club)', 'Athletic', 'chevron_right', 'Weightlifting', 'Business Interest', 'chevron_right', 'STEAM', 'chevron_right', 'Robotics', 'chevron_right', 'Construction Club', 'Career and Technical Education (CTE)', 'chevron_right', 'FBLA', 'chevron_right', 'DECA', 'chevron_right', 'HOSA', 'Career Focus', 'Community/Civic', 'chevron_right', 'Student Government', 'chevron_right', 'HBCU', 'chevron_right', 'GSA', 'chevron_right', 'BSU', 'chevron_right', 'Key Club', 'chevron_right', 'LULAC', 'chevron_right', 'Native American Youth Council', 'ROTC/JROTC', 'chevron_right', 'JROTC', 'Tutoring and Mentoring', 'chevron_right', 'Best Buddies', 'chevron_right', 'Be a Leader']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Early Education Activity/Sensory Room', 'Gymnasium', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Music Hall', 'Natural Lighting in 50% areas', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Weight room', 'chevron_right', 'Tennis Courts', 'chevron_right', 'Full size Gyms', 'chevron_right', 'Wresting room', 'chevron_right', 'Baseball/Softball Fields', 'chevron_right', 'Turf Football Field/Stadium', 'chevron_right', 'Fitness Room', 'chevron_right', 'Yoga Room', 'chevron_right', 'Practice fields', 'Technology Lab', 'Transportation', 'chevron_right', 'Betty Fairfax High School provides school bus transportation for all students within school boundaries.', 'Late Transportation following school activities']","['Dedicated School Counselor', 'chevron_right', '6', 'Dedicated School Social Worker', 'chevron_right', '2', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Health aide only', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Immigrant Services', 'Refugee services', 'Parent/Family education and support', 'Family liaison', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Southwest Behavioral Health', 'chevron_right', 'Teen Lifeline', 'Partner Community Organizations', 'List', 'chevron_right', 'Homeless Youth Connection', 'Betty H. Fairfax High School (BFHS) offers a range of support services for student well-being and academic success. The team includes mental health professionals, behavior specialists, prevention intervention staff, liaisons, and support for students at risk. Services provided include crisis intervention, counseling, community connections, and behavioral support. Additionally, BFHS partners with Southwest Behavioral and Health Services for urgent mental health referrals and on-campus therapy. The Student Support Center in the Freshman Academy provides staff access, support groups, and a Calm Room which students in need can access to promote self-regulation.']",Yes,Yes,Yes,Yes,Yes
Bogle Junior High School,7 - 8,A,No,1141,78,6.84,365,31.99,<10,<10,499,43.73,71,6.22,91,7.97,<10,<10,21.39,,,,99.21,0,386,38,0,$ 170.05,"$ 7,350.83",$ 111.26,$ 370.30,"$ 8,002.45","['Bogle Robotics team, state qualifier champions!', 'Congratulations to Bogle Junior High school spelling bee champion 7th grader Owen Leo who placed in the top eleven at the district spelling bee, held on January 13 at the Chandler Center for the Arts.', 'Eight Bogle students were selected for the 2022 CUSD Honors Orchestra.', 'Reese Miller placed 3rd in the 2021 Chandler Innovation Fair Invention Convention category for the project titled ""Car Ride Carrier"".', 'Congratulations to Bogle English Language Development teacher Chris Bellew who won the Apple Achievement Award, Susan Rylee who was named the Outstanding Volunteer, and 8th grader Rubi Arambul who is the Superintendent Citizenship winner for 2021.', 'Congratulations to Leela Raj-Sankar and Wen-Chin (Milton) Lin who won 2nd Place in Computer Science, Junior Division (7th - 8th Grade) at the 2020 Hamilton Invitational Science and Engineering Fair (HISEF) for the project titled Hiding in Plain Sight.', 'Congratulations to Andrew Lee who won 2nd Place in Environmental Sciences, Junior Division (7th - 8th Grade) at the 2020 Hamilton Invitational Science and Engineering Fair (HISEF) for the project titled Preventing Lateral Erosion on River Banks.', 'Congratulations to Amelia Thomas and the Cortex Crew Tournament Robot Team D, winner of the Intel Robotics Showcase Award in the Robotics Showcase at the 2020 Chandler Innovation Fair.', 'Forbes ranks CUSD 2021 Best Employer in State - https://www.forbes.com/best-employers-by-state/#7d64f06c487a']","['AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Coding', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Bogle offers Dual Language Immersion in Mandarin including Mandarin 3 and a cultural immersion class to enhance fluency. The GRIT and Honors programs include class offerings up to two levels above grade. Algebra II is available to eighth graders by a reputable high school math teacher. Bogle is one of the fist Jr. High Schools to offer Adaptive PE, creating opportunities and partnerships between students. Computer Coding, Engineering, and Robotics are among the popular Career and Technical Education courses. A multitude of academic supports are offered consisting of Targeted Tutoring, Homework Club, Core Foundations Elective, and Study Skills. Social Emotional skills are integrated into classes as well as extra-curricular activities.']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Unified Sports', 'All sports programs integrate Character Education.']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Students in the Music and Arts programs have opportunities to perform in a variety of events as well as participate in competitions.']","['Academic', 'chevron_right', 'National Junior Honor Society', 'chevron_right', ""Writer's Workshop"", 'Arts', 'chevron_right', 'Band Council', 'chevron_right', 'Art Club', 'chevron_right', 'Choir Council', 'chevron_right', 'Orchestra Club', 'Athletic', 'chevron_right', 'Disc Golf', 'Career and Technical Education (CTE)', 'chevron_right', 'Robotics', 'Community/Civic', 'chevron_right', 'Diversity Club', 'chevron_right', 'Student Advisory Committee', 'chevron_right', 'Better Bulldog Club', 'Games and Gaming', 'chevron_right', 'Anime Club', 'chevron_right', 'Chess Club', 'Tutoring and Mentoring']","['Art Room', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '3', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Baseball Fields (2)', 'chevron_right', 'Softball Fields (2)', 'chevron_right', 'Soccer Fields (2)', 'chevron_right', 'Weight Room', 'chevron_right', 'Wrestling Room', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'Mindfulness Center', 'chevron_right', 'Robotics Arena', 'Bogle consists of a wide range of sports facilities and academic labs. Among the many labs, students test their creativity in the Robotics Arena, Technology Lab with multiple 3-D printers, and Makerspace area in the Media Center. To experience a sense of calm, students relax in the Mindfulness Center during lunch.']",['No data available'],Yes,Yes,Yes,Yes,Yes
Bostrom Alternative Center,9 - 12,B,Yes,289,39,13.49,227,78.55,<10,<10,<10,<10,<10,<10,<10,<10,,,0.75,5.93,14.14,35,78.67,0,173,11,0,$ 851.72,"$ 11,863.22",$ 100.40,$ 353.82,"$ 13,169.16",['School Letter Grade of a B'],"['Career and Technical Education (CTE)', 'Honors (Independent of IB/AP/Dual Enrollment)']",['No data available'],"['Others', 'chevron_right', 'Digital Photography']","['Academic', 'chevron_right', 'Concept Recovery Opportunities', 'chevron_right', 'Saturday School Support', 'Arts', 'chevron_right', 'Digital Photo', 'Athletic', 'chevron_right', 'Hiking Club', 'Community/Civic', 'chevron_right', 'BSU', 'chevron_right', 'Student Government', 'Games and Gaming', 'chevron_right', 'Chess', 'Tutoring and Mentoring', 'chevron_right', 'We offer individualized in classroom support with 1x1 Tutoring with Certified teachers.', 'chevron_right', 'Peer Solutions-Student Leadership and Peer Mentoring', 'Others']","['Cafeteria (Onsite food service)', 'Enhanced Security', 'Library', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Basketball Courts', 'chevron_right', 'Soccer Field', 'chevron_right', 'Volleyball Court', 'Technology Lab', 'Transportation', 'chevron_right', 'School transportation', 'Small classroom size, robust social and emotional support, individual tutoring opportunities, tight knit welcoming all inclusive school environment.']","['Dedicated School Counselor', 'chevron_right', '1', 'Dedicated School Social Worker', 'chevron_right', '1', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Parent/Family education and support', 'Family liaison', 'Parenting programs', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Teen Lifeline', 'chevron_right', 'Southwest Behavioral Health', 'Partner Community Organizations', 'List', 'chevron_right', 'Economic Security for Vocational Rehab', 'chevron_right', 'Homeless Youth Connection']",Yes,Yes,Yes,Yes,Yes
Boulder Creek High School,7 - 12,A,No,2375,38,1.6,347,14.61,<10,<10,1832,77.14,105,4.42,37,1.56,<10,<10,22.19,10,1.16,19,99.05,474,850,21,0,$ 291.35,"$ 4,626.31",$ 35.38,$ 236.97,"$ 5,190.01","['ADE A-Rated School 2022', 'US News and World Report Best School']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Preschool', 'Others', 'chevron_right', 'Certificate of Global Studies', 'chevron_right', 'Certificate of Academic Distinction', 'chevron_right', 'Certificate of STEM']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'e-sports']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Painting', 'Photography', 'Theater']","['Academic', 'Arts', 'Athletic', 'Business Interest', 'Career and Technical Education (CTE)', 'Career Focus', 'Community/Civic', 'Games and Gaming', 'Tutoring and Mentoring']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Weight Room', 'chevron_right', 'Large and Small Gymnasium', 'chevron_right', 'Fitness Center', 'chevron_right', 'Locker Rooms', 'chevron_right', 'Field Houses', 'Technology Lab', 'Transportation', 'chevron_right', 'Buses, Microbirds, School Vans']","['Dedicated School Counselor', 'chevron_right', '5', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Family counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Immigrant Services', 'Refugee services', 'Migrant Education Program', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Southwest Behavioral Health Services', 'Partner Community Organizations', 'List', 'chevron_right', ""Maricopa County Sheriff's Office"", 'chevron_right', 'Maricopa County Library District']",Yes,Yes,Yes,Yes,Yes
Buckeye Union High School,9 - 12,B,Yes,1778,122,6.86,1164,65.47,28,1.57,421,23.68,26,1.46,<10,<10,<10,<10,13.88,10,2.19,16.2,99.71,10,657,36,0,$ 845.02,"$ 5,317.80",$ 9.69,$ 171.33,"$ 6,343.84",['No data available'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'ROTC/JROTC']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Theater']",['No data available'],"['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Gymnasium', 'Library', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'Transportation', 'chevron_right', 'Bus transportation is provided to students who are not within walking distance, but reside within the designated school boundary.']","['Dedicated School Counselor', 'chevron_right', '4', 'Mental health services', 'Others', 'chevron_right', 'Licensed Mental Health Counselor', 'chevron_right', 'School Psychologist']",Yes,Yes,Yes,Yes,Yes
