School_name ,city ,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,awards_and_recognitions,academic_offerings,sports_facilities,music_facilities,after_school_opportunities,other_facilities,student_services,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Chaparral High School,Scottsdale,85253,0,0,0,1,5,0,2038,53,2.6,223,10.94,10,10.0,1545,75.81,66,3.24,137,6.72,10,10.0,26.41,10.0,0.47,20.0,99.01,757.0,331.0,26.0,0.0, 97.95, 5613.02, 15.78, 349.18, 6075.93,['No data available'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater']","['Academic', 'Arts', 'Athletic', 'Business Interest', 'Community/Civic', 'Speech and Debate', 'Tutoring and Mentoring']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Gymnasium', 'Library', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'Transportation']",['No data available'],0,0,0,0,0
Cooley Middle School,Gilbert,85296,0,0,1,0,4,0,874,71,8.12,231,26.43,10,10.0,474,54.23,47,5.38,37,4.23,10,10.0,19.12,8.84,0.0,20.1,99.89,0.0,254.0,12.0,3.0, 530.77, 7145.26, 113.98, 1166.42, 8956.43,"['Orchestra: Superior With Distinction Rating, North Side Winds (Band): 2nd Place WGAZ State, Color Guard: WGAZ State Champions, Percussion: WGAZ State Champions, Designated No Place For Hate School']","['Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Orchestra', 'Theater']","['Academic', 'chevron_right', 'Online Newspaper', 'Athletic', 'chevron_right', 'East Valley Athletic Conference Sports', 'Tutoring and Mentoring', 'chevron_right', 'Before and After School Tutoring']","['Art Room', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '1', 'Gymnasium', 'Library', 'School Resource Officer (SRO)', 'Sports Facilities', 'chevron_right', 'Gymnasium and Athletic Fields', 'Technology Lab', 'Transportation']",['No data available'],1,1,1,1,1
Copper Canyon High School,Glendale,85305,0,0,0,1,4,1,2157,116,5.38,1860,86.23,24,1.11,100,4.64,32,1.48,10,10.0,10,10.0,11.07,10.0,2.95,18.5,97.94,1578.0,1027.0,70.0,0.0, 843.59, 8110.62, 127.45, 884.25, 9965.91,['Beat the Odds Gold Award Recipient'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Others', 'chevron_right', 'Medical Assisting and Sports Medicine programs', 'chevron_right', 'Culinary Arts', 'chevron_right', 'Graphic Design']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Girls Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'AP Art Studio']","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'Science Club', 'chevron_right', 'Creative Writing Group', 'chevron_right', 'American Dream Academy (ASU student/parent organization)', 'Arts', 'chevron_right', 'Aztec Theatre Club', 'chevron_right', 'Anime (Appreciation of Japanese Animation)', 'chevron_right', 'Art Club', 'chevron_right', 'Dance', 'chevron_right', 'Hip Hop Club', 'Athletic', 'chevron_right', 'Fellowship of Christian Athletes (FCA)', 'Career and Technical Education (CTE)', 'chevron_right', 'Future Business Leaders of America (FBLA)', 'chevron_right', 'Health Occupations Students of America (HOSA)', 'chevron_right', 'Family, Career and Community Leaders of America (FCCLA)', 'chevron_right', 'Distributive Education Clubs of America (DECA)', 'Career Focus', 'chevron_right', 'Be a Leader (College and Career Exploration)', 'chevron_right', 'Sports Medicine', 'Community/Civic', 'chevron_right', 'Stand Tall (Anti-Bullying)', 'chevron_right', 'Go Green (Recycling and Conservation)', 'chevron_right', 'Gardening Club', 'chevron_right', 'Up Close (Exploration of law-making and good citizenship)', 'chevron_right', 'Student Government', 'chevron_right', 'Aztec Ambassadors (Campus Community Leaders)', 'Games and Gaming', 'chevron_right', 'Game Guild', 'chevron_right', 'Chess Club', 'Speech and Debate', 'chevron_right', 'Speech and Debate Club', 'Others', 'chevron_right', 'Black Student Union', 'chevron_right', 'LGBT', 'chevron_right', 'Yearbook']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '6', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football/Soccer Stadium', 'chevron_right', 'Baseball/Softball Fields', 'chevron_right', 'Track', 'chevron_right', 'Tennis Courts', 'chevron_right', 'Indoor and Outdoor Basketball courts', 'chevron_right', 'Athletic Training Room', 'chevron_right', 'Volleyball Courts', 'chevron_right', 'Wrestling Room', 'chevron_right', 'Weight Room', 'chevron_right', 'Locker Room and Shower facilities', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
Cornerstone Charter School,Phoenix,85021,0,0,0,1,4,0,150,21,14.0,106,70.67,10,10.0,15,10.0,10,10.0,0,0.0,0,0.0,2.33,7.26,24.6,31.7,87.05,0.0,174.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Foreign Language', 'Others', 'chevron_right', 'Credit Recovery Program']",['No data available'],['Art'],"['Games and Gaming', 'Others', 'chevron_right', 'Student Leadership, Yearbook and Prom Committee']","['Art Room', 'Dedicated Counselors', 'chevron_right', '2', 'Technology Lab']","['Dedicated School Counselor', 'chevron_right', '2', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports']",1,1,1,1,1
Corona Del Sol High School,Tempe,85284,0,0,0,1,5,0,2730,140,5.13,814,29.82,69,2.53,1328,48.65,178,6.52,188,6.89,13,0.48,26.52,10.0,0.84,20.0,98.5,549.0,526.0,48.0,0.0, 156.37, 6452.56, 43.20, 427.59, 7079.71,['No data available'],"['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Preschool', 'ROTC/JROTC']",['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Coronado High School,Scottsdale,85257,0,0,0,1,4,1,740,44,5.95,482,65.14,61,8.24,130,17.57,14,1.89,10,10.0,10,10.0,14.55,10.0,2.39,16.8,98.59,83.0,397.0,19.0,0.0, 1016.90, 9089.06, 167.79, 504.99, 10778.74,['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Cortez High School,Phoenix,85051,0,0,0,1,5,1,1104,136,12.32,669,60.6,51,4.62,154,13.95,10,10.0,60,5.43,10,10.0,15.3,10.0,1.5,19.6,99.01,127.0,794.0,55.0,0.0, 1616.54, 9666.85, 296.22, 1146.06, 12725.67,['Cortez High School is ranked by U.S. News and World Report for Best High Schools'],"['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Chess', 'chevron_right', 'E-Sports', 'chevron_right', 'Academic Decathlon']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater']","['Academic', 'chevron_right', 'World Language Clubs', 'chevron_right', 'Science Club', 'chevron_right', 'Math Club', 'chevron_right', 'History Club', 'chevron_right', 'National Honor Society', 'Arts', 'chevron_right', 'Dance Club', 'chevron_right', 'Art Club', 'chevron_right', 'Music Clubs', 'chevron_right', 'Vocal Ensemble', 'chevron_right', 'Thespian Club', 'Athletic', 'chevron_right', 'Special Olympics', 'chevron_right', 'See list of Sports', 'Career and Technical Education (CTE)', 'chevron_right', 'DECA', 'chevron_right', 'Skills USA', 'Community/Civic', 'chevron_right', 'Interact', 'chevron_right', 'Link Crew', 'ROTC/JROTC', 'chevron_right', 'NJROTC', 'Speech and Debate', 'chevron_right', 'Speech', 'Tutoring and Mentoring', 'chevron_right', 'Colts Center']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '3', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Baseball', 'chevron_right', 'Softball', 'chevron_right', 'Track and Field', 'chevron_right', 'Football', 'chevron_right', 'Soccer', 'chevron_right', 'Multipurpose', 'chevron_right', 'Badminton', 'chevron_right', 'Tennis', 'chevron_right', 'Racketball', 'chevron_right', 'basketball', 'Technology Lab', 'Transportation']",['No data available'],0,0,0,0,0
Country Gardens Charter School,Laveen,85339,1,1,1,1,4,1,322,34,10.56,183,56.83,10,10.0,88,27.33,10,10.0,10,10.0,0,0.0,12.5,8.84,11.32,20.0,98.36,0.0,50.0,5.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['Health Department ""A"" score annually for the student-run business', 'Voted best school of Laveen, Arizona in 2017']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Foreign Language', 'Full-day Kindergarten', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'chevron_right', 'Community Service Projects', 'chevron_right', 'Advanced Biology Programs', 'chevron_right', 'Engineering']","['Swimming', 'Others', 'chevron_right', 'Dance Club', 'chevron_right', 'Fencing', 'chevron_right', 'Steel Drums Club', 'We also offer courses involving multiple field experiences. These include Wilderness Skills, Archeology/Anthropology, Service Learning, Entrepreneurship,Animal Husbandry, and extensive Biology courses involving live animal habitats on campus as well as excursions to the rain forest in Costa Rica and Panama. Marine Biology expeditions to the second largest great barrier reef in the world in Belize and saving sea turtles in Costa Rica, just to mention a few.']","['Art', 'Cultural Arts', 'Dance', 'Music', 'Photography', 'Theater', 'Others', 'chevron_right', 'Steel Drums']","['Academic', 'chevron_right', 'Entreprenuership-Running a real business', 'chevron_right', 'Free After School Tutoring', 'Arts', 'chevron_right', 'Variety of after school clubs', 'Business Interest', 'Career and Technical Education (CTE)', 'Career Focus', 'Community/Civic', 'Tutoring and Mentoring', 'chevron_right', 'Tutoring for students in grades 1-12', 'Others', 'chevron_right', 'Dance Club', 'chevron_right', 'Drama Club', 'chevron_right', 'Steel Drums Club']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Garden', 'Indoor air quality control', 'Kindergarten Playground', 'Science Lab', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'ZooQuarium and Barnyard', 'chevron_right', 'Swimming pool with slides', 'chevron_right', 'Theater/auditorium']","['Mental health services', 'Individual counseling', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Parent/Family education and support', 'Family liaison', 'Partner Community Organizations', 'List', '7th Street Food Pantry as part of our Service Learning Class.']",1,1,1,1,1
Crestview College Preparatory High School,Phoenix,85032,0,0,0,1,4,1,246,21,8.54,190,77.24,10,10.0,21,8.54,10,10.0,0,0.0,10,10.0,1.26,5.36,29.88,35.0,87.23,0.0,315.0,1.0,0.0, 1755.96, 3845.01, 1320.03, 3927.02, 10848.02,['No data available'],['No data available'],"['Others', 'chevron_right', 'Weight Training']","['Art', 'Painting']",['No data available'],"['Art Room', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '0.5', 'Technology Lab', 'Transportation']",['No data available'],1,1,1,1,1
Crown Point High School,Phoenix,85033,0,0,0,1,5,0,35,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15.46,3.0,11.29,35.0,65.0,0.0,38.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses']",['No data available'],['No data available'],['No data available'],['No data available'],"['Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports', 'Parent/Family education and support', 'Family liaison']",0,0,0,0,0
Deer Valley Academy,Glendale,85308,0,0,0,1,4,0,25,10,10.0,10,10.0,10,10.0,11,44.0,0,0.0,0,0.0,0,0.0,15.46,8.84,20.0,20.1,75.68,0.0,55.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses']",['No data available'],['No data available'],['No data available'],['Indoor air quality control'],"['Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Designated individual to refer to community supports', 'Parent/Family education and support', 'Family liaison']",1,1,1,1,1
Deer Valley High School,Glendale,85308,0,0,1,1,5,0,1634,103,6.3,525,32.13,10,10.0,867,53.06,86,5.26,34,2.08,10,10.0,17.6,10.0,1.54,17.5,99.02,201.0,574.0,38.0,5.0, 482.86, 5840.16, 63.48, 241.72, 6628.22,"['A+ School of Excellence', 'US News and World Report - Outstanding School', '14 National Championships in Pom and Cheer', 'Numerous team and individual AIA state championships']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Beach Volleyball']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Guitar']","['Academic', 'chevron_right', 'Academic Decathlon', 'chevron_right', 'National Honor Society', 'chevron_right', 'Science Club', 'chevron_right', 'Spanish Club', 'chevron_right', 'Physics Club', 'chevron_right', 'Creative Writing Club', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Band Club', 'chevron_right', 'Choir Club', 'chevron_right', 'Dance Club', 'chevron_right', 'Drama/Thespian Club', 'chevron_right', 'National Arts Honor Society', 'chevron_right', 'Stage Pro/AZ Thespians', 'Athletic', 'chevron_right', 'All Sports', 'chevron_right', 'Mountain Biking Club', 'chevron_right', 'Fellowship of Christian Athletes', 'Business Interest', 'chevron_right', 'DECA Club', 'Career and Technical Education (CTE)', 'chevron_right', 'DECA', 'chevron_right', 'HOSA-Future Health Professionals', 'chevron_right', 'Ouchie Club (Sports Medicine)', 'chevron_right', 'Media Club', 'Community/Civic', 'chevron_right', 'Outreach', 'Games and Gaming', 'chevron_right', 'Cosplay', 'chevron_right', 'Board Game Club', 'chevron_right', 'E-Sports', 'chevron_right', 'Dungeons and Dragons Club', 'ROTC/JROTC', 'chevron_right', 'AFJROTC', 'Tutoring and Mentoring', 'chevron_right', 'National Honor Society', 'Others', 'chevron_right', 'Friends of Library Club', 'chevron_right', 'Best Buddies Club', 'chevron_right', 'Making a Difference (MAD) Club', 'chevron_right', 'Peer Culture Club', 'chevron_right', 'Gay/Straight Alliance (GSA)', 'chevron_right', 'Christian Club on Campus (CCC)']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '5', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Two Baseball Fields', 'chevron_right', 'Two Softball Fields', 'chevron_right', 'Football Stadium and Track', 'chevron_right', 'Two Footbal Practice Fields', 'chevron_right', 'Two Gymnasiums', 'chevron_right', 'Three Outdoor Basketball Courts', 'chevron_right', 'Large/Spacious Weight Room', 'chevron_right', 'Wrestling Room', 'chevron_right', 'Six Tennis Courts', 'chevron_right', 'ROTC Indoor Air Rifle Shooting Range', 'Technology Lab', 'Transportation']","['Mental health services', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Southwest Behavior Health']",1,1,1,1,1
Deer Valley Middle School,Phoenix,85027,0,0,1,0,2,1,538,47,8.74,257,47.77,19,3.53,183,34.02,22,4.09,10,10.0,10,10.0,8.87,8.84,0.0,20.1,100.0,0.0,267.0,38.0,2.0, 813.99, 5497.33, 36.73, 559.21, 6907.25,['No data available'],"['Others', 'Paxton Labs']","['Baseball', 'Basketball', 'Cross-Country', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Choir', 'Orchestra']","['Academic', 'chevron_right', 'National Junior Honor Society', 'Community/Civic', 'chevron_right', 'Stand Up, Speak Up, Save a Life', 'Others', 'chevron_right', 'Student Government']","['Art Room', 'Cafeteria (Onsite food service)', 'Gymnasium', 'Indoor air quality control', 'Library', 'School Resource Officer (SRO)', 'Science Lab', 'Transportation']","['Dedicated School Counselor', 'chevron_right', '2', 'Mental health services', 'Individual counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Southwest Behavioral Health']",1,1,1,1,1
Desert Edge High School,Goodyear,85338,0,0,0,1,4,1,1993,264,13.25,1151,57.75,11,0.55,408,20.47,95,4.77,53,2.66,11,0.55,14.81,10.0,2.62,16.0,99.29,535.0,521.0,39.0,7.0, 622.16, 7369.12, 85.19, 1006.65, 9083.12,"['A+ School of Excellence 2016-2019', 'Beat the Odds Institute - Gold Medal/Silver Medal/Bronze Medal Recipient', 'Washington Post Most Challenging School in America 2014-2018', 'US News and World Report Best High School in America 2015-2018', 'NASSP AZ Principal of the Year 2018-2019, Julie Jones', '2015 AIA Division III State Football Champions', '2015 AIA Division III Boys Track State Champions', 'ADE Certificate of Appreciation in Arts Education 2018-2019']","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Others', 'chevron_right', 'Conservatory of Arts and Design', 'chevron_right', '1:1 Technology', 'Desert Edge strives to meet the needs of all students. AP and honors classes provide additional challenges to advanced students in order to keep pushing them forward to meet their potential. During the registration process students are encouraged to take more demanding classes in an effort to best prepare them for college and their careers. We have several interventions in place for our struggling students. We also provide our AVID program to help students who might not be ready for our advanced programs, but still need to be pushed to increase their understanding. Our foreign language program continues to prepare students for college and our ever-changing culture. We are very excited to offer a robust CTE program that gives our students technical skills and competitive advantage as they graduate from DEHS. The strong arts programs at Desert Edge have made us known in the City of Goodyear as student talent is acquired for community events and throughout the state of Arizona. Campus technology is fully one-to-one; each student is issued a chromebook for classroom use. The comprehensive academic programs we provide truly seek to make all DEHS students college and career ready.']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', ""Women's Beach Volleyball"", 'chevron_right', ""Men's Indoor Volleyball"", 'chevron_right', 'Girls Flag Football', ""At DEHS we strive to build a comprehensive menu of athletic opportunities for our students to enhance their educational experience. As with most schools, we offer typical team sports such as football, basketball, baseball, softball, volleyball and soccer. We've also developed several individual sport programs including golf and tennis. We are excited that we have been able to expand our programs to include some sports that are not typically offered in local high schools. We now have badminton, beach volleyball and boys court volleyball. We also have large programs for sports that have both individual components but are team based in track & field, swim & dive, and wrestling. We believe the opportunities provided to DEHS students with athletics exposes them to sports they might not be able to play otherwise, as well as building character through working with coaches and teammates.""]","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Theater', 'Others', 'chevron_right', 'Metal Sculpting', 'chevron_right', 'Jazz Band', 'chevron_right', 'Music Theory', 'Our magnet program at DEHS is our Conservatory of the Arts. The Conservatory is a significant program with both design and creation elements as well as performance opportunities. One premier program that we offer is architectural and interior design. Students gain exposure to design elements and have the chance to use CAD programs. Our 3D sculpture class maintains high enrollment as a higher level art class. On the performance side, students could sing in one of our choirs, play in our band, act in our theater or perform with our dance classes. Many of these programs have garnered statewide and national recognitions while students have multiple opportunities to compete. Several of our Conservatory programs have partnered with other programs, such as CTE, to develop cross-curricular projects that truly prepare our students for life after high school.']","['Academic', 'chevron_right', 'ACT Prep/Bootcamp', 'chevron_right', 'AzMERIT Bootcamp', 'chevron_right', 'Spanish Club', 'chevron_right', 'National Honor Society', 'chevron_right', 'STEM Club', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', ""Varsity Men's Choir"", 'chevron_right', ""Varsity Women's Choir"", 'chevron_right', 'Cutting Edge & Thespians', 'chevron_right', 'Y.A.C.T. (Young Artist Creating Truth)', 'Athletic', 'chevron_right', 'Girls Basketball', 'chevron_right', 'Wrestling Club', 'chevron_right', 'Boys Basketball', 'chevron_right', 'Golf Club', 'chevron_right', 'Boys Soccer', 'chevron_right', 'Iron Scorpions', 'chevron_right', 'DE Racket Sports Club', 'chevron_right', 'POM', 'chevron_right', 'Cheer', 'Career and Technical Education (CTE)', 'chevron_right', 'Future Farmers of America', 'chevron_right', 'FBLA (Marketing)', 'chevron_right', 'FCCLA (Architectural and Interior Design)', 'chevron_right', 'HOSA (Sports Medicine)', 'chevron_right', 'Skills USA (Graphic Design)', 'chevron_right', 'Student Television Network (Film & TV Broadcast)', 'Community/Civic', 'chevron_right', 'Key Club', 'chevron_right', 'Military Club', 'chevron_right', 'STUGO (Student Government)', 'chevron_right', 'College Club', 'chevron_right', 'Fellowship of Christian Athletes (FCA)', 'chevron_right', 'M.E.C.H.A.', 'chevron_right', 'Korean Club', 'chevron_right', 'Gay Straight Alliance (GSA)', 'chevron_right', 'Plan-It (Environmental Awareness)', 'chevron_right', 'Student to Student (S2S)', 'Games and Gaming', 'chevron_right', 'Anime Club', 'Tutoring and Mentoring', 'chevron_right', 'EDGE Academy - after school program for students with multiple ""F\'s""', 'chevron_right', 'Math Essential Standards Lab', 'chevron_right', 'English Essential Standards Lab', 'chevron_right', 'Biology Essential Standards Lab', 'chevron_right', 'Academic Overtime (during Power Hour)', 'chevron_right', 'AP Review Academy', 'Others', 'chevron_right', 'Scorpion Dance Company', 'chevron_right', 'Scorpion Pride Council', 'chevron_right', 'Journalism Club']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '5', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Library', 'Makerspace (Creativity Lab)', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football Stadium', 'chevron_right', 'Full and Auxiliary Gyms', 'chevron_right', 'Field House', 'chevron_right', 'Tennis Courts', 'chevron_right', 'Softball Fields', 'chevron_right', 'Baseball Fields', 'chevron_right', 'Sand Volleyball Court', 'chevron_right', 'Practice Fields', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'College and Career Center', 'chevron_right', 'Parent Resource Center', 'chevron_right', 'School Interventionist Office']",['No data available'],1,1,1,1,1
Desert Foothills Middle School,Phoenix,85053,0,0,1,0,4,1,632,56,8.86,287,45.41,15,2.37,238,37.66,21,3.32,10,10.0,10,10.0,13.42,8.84,0.0,20.1,100.0,0.0,189.0,36.0,35.0, 1281.61, 7263.07, 854.19, 984.98, 10383.86,['No data available'],"['Gifted Program', 'Others', 'chevron_right', 'NJHS']","['Basketball', 'Cross-Country', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', 'Wrestling', 'Others']","['Art', 'Band', 'Choir', 'Music', 'Orchestra']","['Academic', 'Arts', 'Athletic', 'Community/Civic', 'chevron_right', 'Student Council']","['Art Room', 'Cafeteria (Onsite food service)', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'School Resource Officer (SRO)', 'Transportation', 'Late Transportation following school activities']","['Dedicated School Social Worker', 'chevron_right', '1', 'Health Services (i.e. School-based Health Center)', 'Health aide only', 'Assistance with Material Needs', 'McKinney-Vento homeless student program']",1,1,1,0,1
Desert Hills High School,Gilbert,85296,0,0,0,1,4,1,264,19,7.2,102,38.64,34,12.88,96,36.36,11,4.17,10,10.0,10,10.0,4.09,5.46,17.16,32.5,82.53,0.0,303.0,6.0,0.0, 1386.01, 4591.62, 730.66, 4705.69, 11413.97,['No data available'],"['AVID (Advancement Via Individual Determination)', 'Dual enrollment', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'Desert Hills High School has been offering the AVID college preparation program to students since 2019.']","['Basketball', 'Football']","['Art', 'Band', 'Cultural Arts', 'Music', 'Painting', 'Photography', 'Theater']","['Academic', 'Arts', 'Athletic', 'Business Interest', 'Community/Civic', 'Games and Gaming', 'Speech and Debate', 'Tutoring and Mentoring']","['Art Room', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '.5', 'Enhanced Security', 'Garden', 'Indoor air quality control', 'Library', 'Science Lab', 'Technology Lab', 'Transportation']","['Dedicated School Counselor', 'chevron_right', '1', 'Dedicated School Social Worker', 'chevron_right', '1', 'Mental health services', 'Individual counseling', 'Small group counseling', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Food pantry', 'Designated individual to refer to community supports', 'Partner Community Organizations', 'List', 'chevron_right', 'The National Education Equity Lab, The Alice Cooper Solid Rock Teen Center, The Gilbert Chamber Of Commerce.']",1,1,1,1,1
